,Pcorr,Cluster
72169,0.9918766458685276,1
20868,0.9913352972733743,1
68404,0.9899761045721743,1
11982,0.9885660000265881,1
70788,0.9871471401709071,1
235527,0.9858679836353497,1
18799,0.9856890717800979,1
20198,0.9855285843815864,1
21898,0.9851739855485105,1
330192,0.9845742944864366,1
215653,0.9241322641899193,2
269529,0.9185889953983383,2
98363,0.9118961695783941,2
218772,0.8959059430862777,2
66952,0.8933074949426124,2
73284,0.8925479788029305,2
242122,0.891269591844258,2
12396,0.8881307581778428,2
114664,0.8865364143979735,2
207742,0.884113873593985,2
99982,0.9919557494331549,3
12349,0.9904942272805052,3
71799,0.9813307312462961,3
233789,0.9774714897704194,3
56045,0.977240970318829,3
17289,0.9761697057772378,3
108699,0.9758414798245875,3
223227,0.9752352412702697,3
50770,0.9730392334705665,3
74253,0.9723508973332453,3
77739,0.9910201245689565,4
81500,0.9908946203754407,4
73251,0.9903742805778644,4
22762,0.9895536868630801,4
20238,0.9893555593374471,4
74122,0.9887962098091742,4
171212,0.9882695821545889,4
76895,0.9870851131736577,4
75746,0.9868377042429092,4
14923,0.9858360606670457,4
50935,0.9884086601207777,5
381204,0.9846742057111407,5
109778,0.982319161684748,5
18294,0.9814146405248412,5
19649,0.9810467741686301,5
12561,0.9804296405350411,5
215474,0.9803477164820241,5
233016,0.979609743948823,5
13854,0.9773690424114618,5
67015,0.9772066953173143,5
327799,0.9974403920621825,6
13411,0.9965169049766208,6
212980,0.9952324782321748,6
21752,0.994971611025244,6
320438,0.9945898517037125,6
30959,0.9944459980149223,6
14536,0.9941789654623183,6
16574,0.9940857245036789,6
50524,0.9938019454096007,6
67507,0.9934726964699786,6
